,model,columns,best_params,training_time,accuracy,precision,recall,f1,roc_auc,mean_fit_time,predict_time
0,GaussianNB,['guests_per_night'],{},6.173116207122803,0.6849,0.0,0.0,0.0,0.503,0.012,0.006
1,KNeighborsClassifier,['guests_per_night'],{'n_neighbors': 5},14.710338830947876,0.6158,0.3475,0.25,0.291,0.524,0.016,0.529
2,LogisticRegression,['guests_per_night'],"{'C': 0.001, 'max_iter': 100}",0.9648199081420898,0.6849,0.0,0.0,0.0,0.505,0.025,0.002
3,LinearDiscriminantAnalysis,['guests_per_night'],{},0.1026909351348877,0.6849,0.0,0.0,0.0,0.505,0.013,0.001
4,QuadraticDiscriminantAnalysis,['guests_per_night'],{},0.101104736328125,0.6849,0.0,0.0,0.0,0.503,0.008,0.002
5,DecisionTreeClassifier,['guests_per_night'],"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9147679805755615,0.6891,0.7377,0.021,0.04,0.539,0.011,0.001
6,RandomForestClassifier,['guests_per_night'],"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",141.54818773269653,0.6891,0.7377,0.021,0.04,0.54,1.598,0.026
7,GaussianNB,['has_special_request'],{},0.12967610359191895,0.6849,0.0,0.0,0.0,0.64,0.01,0.002
8,KNeighborsClassifier,['has_special_request'],{'n_neighbors': 3},12.990063905715942,0.6849,0.0,0.0,0.0,0.36,0.02,0.458
9,LogisticRegression,['has_special_request'],"{'C': 0.001, 'max_iter': 100}",0.5202991962432861,0.6849,0.0,0.0,0.0,0.64,0.01,0.001
10,LinearDiscriminantAnalysis,['has_special_request'],{},0.05134916305541992,0.6849,0.0,0.0,0.0,0.64,0.011,0.0
11,QuadraticDiscriminantAnalysis,['has_special_request'],{},0.04807877540588379,0.6849,0.0,0.0,0.0,0.64,0.009,0.001
12,DecisionTreeClassifier,['has_special_request'],"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.45540714263916016,0.6849,0.0,0.0,0.0,0.64,0.004,0.001
13,RandomForestClassifier,['has_special_request'],"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",59.41972804069519,0.6849,0.0,0.0,0.0,0.64,0.723,0.012
14,GaussianNB,"['guests_per_night', 'has_special_request']",{},0.13174223899841309,0.6849,0.0,0.0,0.0,0.64,0.019,0.003
15,KNeighborsClassifier,"['guests_per_night', 'has_special_request']",{'n_neighbors': 7},5.568835973739624,0.6576,0.4537,0.424,0.439,0.632,0.015,0.179
16,LogisticRegression,"['guests_per_night', 'has_special_request']","{'C': 0.001, 'max_iter': 100}",0.4862818717956543,0.6849,0.0,0.0,0.0,0.64,0.01,0.001
17,LinearDiscriminantAnalysis,"['guests_per_night', 'has_special_request']",{},0.06009387969970703,0.6849,0.0,0.0,0.0,0.64,0.013,0.001
18,QuadraticDiscriminantAnalysis,"['guests_per_night', 'has_special_request']",{},0.05269980430603027,0.6849,0.0,0.0,0.0,0.643,0.008,0.002
19,DecisionTreeClassifier,"['guests_per_night', 'has_special_request']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.761106014251709,0.6947,0.6056,0.089,0.156,0.665,0.009,0.002
20,RandomForestClassifier,"['guests_per_night', 'has_special_request']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",102.89002180099487,0.6947,0.6056,0.089,0.156,0.665,1.119,0.076
21,GaussianNB,['lead_time_scaled'],{},0.1474900245666504,0.7622,0.7137,0.41,0.521,0.753,0.015,0.002
22,KNeighborsClassifier,['lead_time_scaled'],{'n_neighbors': 9},4.4803571701049805,0.7588,0.6925,0.422,0.524,0.741,0.018,0.104
23,LogisticRegression,['lead_time_scaled'],"{'C': 0.1, 'max_iter': 100}",0.5222568511962891,0.7631,0.7144,0.413,0.524,0.753,0.008,0.001
24,LinearDiscriminantAnalysis,['lead_time_scaled'],{},0.05083417892456055,0.7599,0.6967,0.422,0.525,0.753,0.009,0.001
25,QuadraticDiscriminantAnalysis,['lead_time_scaled'],{},0.04774618148803711,0.7622,0.7137,0.41,0.521,0.753,0.005,0.001
26,DecisionTreeClassifier,['lead_time_scaled'],"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7932569980621338,0.7751,0.7451,0.435,0.549,0.772,0.015,0.002
27,RandomForestClassifier,['lead_time_scaled'],"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",197.36809706687927,0.7746,0.7504,0.427,0.544,0.775,2.27,0.049
28,GaussianNB,"['guests_per_night', 'lead_time_scaled']",{},0.173353910446167,0.7592,0.7045,0.406,0.515,0.74,0.029,0.008
29,KNeighborsClassifier,"['guests_per_night', 'lead_time_scaled']",{'n_neighbors': 9},3.7794270515441895,0.7782,0.7099,0.501,0.587,0.772,0.013,0.113
30,LogisticRegression,"['guests_per_night', 'lead_time_scaled']","{'C': 1, 'max_iter': 100}",0.4401121139526367,0.7604,0.7041,0.413,0.521,0.753,0.01,0.001
31,LinearDiscriminantAnalysis,"['guests_per_night', 'lead_time_scaled']",{},0.05504012107849121,0.7615,0.7038,0.42,0.526,0.753,0.012,0.001
32,QuadraticDiscriminantAnalysis,"['guests_per_night', 'lead_time_scaled']",{},0.04961204528808594,0.7595,0.7063,0.405,0.515,0.746,0.007,0.001
33,DecisionTreeClassifier,"['guests_per_night', 'lead_time_scaled']","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9426140785217285,0.7863,0.7364,0.501,0.597,0.784,0.022,0.001
34,RandomForestClassifier,"['guests_per_night', 'lead_time_scaled']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",240.92684388160706,0.7892,0.7292,0.527,0.612,0.795,2.683,0.07
35,GaussianNB,"['has_special_request', 'lead_time_scaled']",{},0.1448380947113037,0.7547,0.6845,0.411,0.514,0.796,0.012,0.006
36,KNeighborsClassifier,"['has_special_request', 'lead_time_scaled']",{'n_neighbors': 7},3.9165430068969727,0.7781,0.6962,0.525,0.598,0.777,0.013,0.116
37,LogisticRegression,"['has_special_request', 'lead_time_scaled']","{'C': 1, 'max_iter': 100}",0.4641108512878418,0.7517,0.6679,0.422,0.517,0.795,0.009,0.002
38,LinearDiscriminantAnalysis,"['has_special_request', 'lead_time_scaled']",{},0.056279897689819336,0.752,0.6696,0.42,0.516,0.794,0.011,0.0
39,QuadraticDiscriminantAnalysis,"['has_special_request', 'lead_time_scaled']",{},0.05131864547729492,0.7565,0.6896,0.413,0.517,0.796,0.005,0.001
40,DecisionTreeClassifier,"['has_special_request', 'lead_time_scaled']","{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8293781280517578,0.7833,0.7232,0.506,0.595,0.819,0.018,0.001
41,RandomForestClassifier,"['has_special_request', 'lead_time_scaled']","{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",218.8716218471527,0.7873,0.7342,0.51,0.602,0.823,2.483,0.128
42,GaussianNB,"['guests_per_night', 'has_special_request', 'lead_time_scaled']",{},0.18050503730773926,0.7546,0.6839,0.411,0.514,0.786,0.021,0.001
